title,author,genre
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Unknown Genre
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Unknown Genre
Pride and Prejudice,Jane Austen,Unknown Genre
To Kill a Mockingbird,Harper Lee,Unknown Genre
The Book Thief,Markus Zusak,Unknown Genre
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,Unknown Genre
Animal Farm,George Orwell,Unknown Genre
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Unknown Genre
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,Unknown Genre
The Fault in Our Stars,John Green,Unknown Genre
